Order ID,Product,Quantity Ordered,Price Each,Total Price,Purchase Address,Order Date,time,Street,City,State,Zip code
176588,20in Monitor,1,109.99,109.99,"765 Cherry St, Seattle, WA 98101",4/2/2019,4:00:00 AM,765 Cherry St, Seattle,WA,98101
176589,Lightning Charging Cable,1,14.95,14.95,"846 Highland St, Atlanta, GA 30301",4/4/2019,12:23:00 PM,846 Highland St, Atlanta,GA,30301
176590,Google Phone,1,600,600,"873 6th St, New York City, NY 10001",4/11/2019,11:46:00 AM,873 6th St, New York City,NY,10001
176591,Apple Airpods Headphones,1,150,150,"600 Maple St, Austin, TX 73301",4/21/2019,7:21:00 AM,600 Maple St, Austin,TX,73301
176592,USB-C Charging Cable,1,11.95,11.95,"352 4th St, Los Angeles, CA 90001",4/27/2019,1:04:00 PM,352 4th St, Los Angeles,CA,90001
176593,Lightning Charging Cable,2,14.95,29.9,"906 7th St, Portland, OR 97035",4/15/2019,1:45:00 PM,906 7th St, Portland,OR,97035
176594,Wired Headphones,1,11.99,11.99,"63 Maple St, San Francisco, CA 94016",4/17/2019,11:04:00 PM,63 Maple St, San Francisco,CA,94016
176595,Wired Headphones,3,11.99,35.97,"383 6th St, Los Angeles, CA 90001",4/2/2019,9:11:00 AM,383 6th St, Los Angeles,CA,90001
176596,Apple Airpods Headphones,1,150,150,"572 Meadow St, Dallas, TX 75001",4/27/2019,8:11:00 PM,572 Meadow St, Dallas,TX,75001
176597,USB-C Charging Cable,1,11.95,11.95,"681 11th St, San Francisco, CA 94016",4/19/2019,1:39:00 PM,681 11th St, San Francisco,CA,94016
176598,AAA Batteries (4-pack),2,2.99,5.98,"294 Park St, San Francisco, CA 94016",4/21/2019,8:33:00 PM,294 Park St, San Francisco,CA,94016
176599,Lightning Charging Cable,1,14.95,14.95,"279 Maple St, New York City, NY 10001",4/11/2019,3:25:00 PM,279 Maple St, New York City,NY,10001
176600,27in 4K Gaming Monitor,1,389.99,389.99,"87 West St, Boston, MA 02215",4/30/2019,3:54:00 PM,87 West St, Boston,MA,2215
176601,USB-C Charging Cable,1,11.95,11.95,"754 10th St, Los Angeles, CA 90001",4/2/2019,10:32:00 PM,754 10th St, Los Angeles,CA,90001
176602,Lightning Charging Cable,1,14.95,14.95,"9 Jefferson St, Dallas, TX 75001",4/30/2019,9:39:00 AM,9 Jefferson St, Dallas,TX,75001
176603,USB-C Charging Cable,1,11.95,11.95,"858 6th St, San Francisco, CA 94016",4/1/2019,7:46:00 AM,858 6th St, San Francisco,CA,94016
176604,USB-C Charging Cable,1,11.95,11.95,"462 11th St, San Francisco, CA 94016",4/2/2019,10:57:00 AM,462 11th St, San Francisco,CA,94016
176605,USB-C Charging Cable,1,11.95,11.95,"717 Pine St, San Francisco, CA 94016",4/15/2019,4:29:00 PM,717 Pine St, San Francisco,CA,94016
176606,LG Dryer,1,600,600,"487 Maple St, San Francisco, CA 94016",4/21/2019,2:16:00 PM,487 Maple St, San Francisco,CA,94016
176607,AAA Batteries (4-pack),2,2.99,5.98,"689 10th St, Boston, MA 02215",4/18/2019,12:11:00 PM,689 10th St, Boston,MA,2215
176608,iPhone,1,700,700,"15 Cherry St, San Francisco, CA 94016",4/11/2019,12:01:00 PM,15 Cherry St, San Francisco,CA,94016
176609,Apple Airpods Headphones,1,150,150,"267 11th St, Austin, TX 73301",4/11/2019,4:59:00 PM,267 11th St, Austin,TX,73301
176610,AAA Batteries (4-pack),1,2.99,2.99,"382 River St, Dallas, TX 75001",4/26/2019,12:40:00 AM,382 River St, Dallas,TX,75001
176611,Bose SoundSport Headphones,1,99.99,99.99,"971 Sunset St, San Francisco, CA 94016",4/30/2019,1:16:00 PM,971 Sunset St, San Francisco,CA,94016
176612,Apple Airpods Headphones,1,150,150,"149 North St, Seattle, WA 98101",4/4/2019,7:48:00 PM,149 North St, Seattle,WA,98101
176613,USB-C Charging Cable,2,11.95,23.9,"405 4th St, New York City, NY 10001",4/26/2019,6:58:00 PM,405 4th St, New York City,NY,10001
176614,AA Batteries (4-pack),1,3.84,3.84,"647 Jackson St, San Francisco, CA 94016",4/7/2019,9:01:00 PM,647 Jackson St, San Francisco,CA,94016
176615,Lightning Charging Cable,1,14.95,14.95,"833 River St, Dallas, TX 75001",4/30/2019,10:35:00 AM,833 River St, Dallas,TX,75001
176616,USB-C Charging Cable,1,11.95,11.95,"380 Washington St, San Francisco, CA 94016",4/5/2019,8:40:00 PM,380 Washington St, San Francisco,CA,94016
176617,Apple Airpods Headphones,1,150,150,"319 8th St, Portland, OR 97035",4/25/2019,8:03:00 AM,319 8th St, Portland,OR,97035
176618,Lightning Charging Cable,2,14.95,29.9,"273 South St, San Francisco, CA 94016",4/18/2019,9:44:00 PM,273 South St, San Francisco,CA,94016
176619,Flatscreen TV,1,300,300,"116 North St, Los Angeles, CA 90001",4/16/2019,6:37:00 PM,116 North St, Los Angeles,CA,90001
176620,USB-C Charging Cable,1,11.95,11.95,"994 Pine St, Los Angeles, CA 90001",4/17/2019,10:39:00 AM,994 Pine St, Los Angeles,CA,90001
176621,Lightning Charging Cable,1,14.95,14.95,"863 8th St, Boston, MA 02215",4/11/2019,4:09:00 PM,863 8th St, Boston,MA,2215
176622,AA Batteries (4-pack),1,3.84,3.84,"983 11th St, San Francisco, CA 94016",4/11/2019,8:16:00 PM,983 11th St, San Francisco,CA,94016
176623,27in FHD Monitor,1,149.99,149.99,"807 12th St, Atlanta, GA 30301",4/20/2019,11:51:00 PM,807 12th St, Atlanta,GA,30301
176624,AA Batteries (4-pack),1,3.84,3.84,"664 Church St, Seattle, WA 98101",4/28/2019,10:44:00 AM,664 Church St, Seattle,WA,98101
176625,AAA Batteries (4-pack),2,2.99,5.98,"858 5th St, San Francisco, CA 94016",4/24/2019,7:00:00 PM,858 5th St, San Francisco,CA,94016
176626,Bose SoundSport Headphones,1,99.99,99.99,"491 Chestnut St, Boston, MA 02215",4/1/2019,9:40:00 PM,491 Chestnut St, Boston,MA,2215
176627,Wired Headphones,1,11.99,11.99,"994 13th St, Atlanta, GA 30301",4/21/2019,2:57:00 PM,994 13th St, Atlanta,GA,30301
176628,Lightning Charging Cable,2,14.95,29.9,"628 Wilson St, Dallas, TX 75001",4/15/2019,4:03:00 AM,628 Wilson St, Dallas,TX,75001
176629,USB-C Charging Cable,1,11.95,11.95,"101 Lincoln St, San Francisco, CA 94016",4/24/2019,11:56:00 AM,101 Lincoln St, San Francisco,CA,94016
176630,Google Phone,1,600,600,"770 Maple St, San Francisco, CA 94016",4/10/2019,5:01:00 AM,770 Maple St, San Francisco,CA,94016
176631,USB-C Charging Cable,1,11.95,11.95,"292 Dogwood St, San Francisco, CA 94016",4/13/2019,6:48:00 PM,292 Dogwood St, San Francisco,CA,94016
176632,AAA Batteries (4-pack),1,2.99,2.99,"814 Madison St, San Francisco, CA 94016",4/14/2019,2:28:00 PM,814 Madison St, San Francisco,CA,94016
176633,ThinkPad Laptop,1,999.99,999.99,"863 Hickory St, Los Angeles, CA 90001",4/23/2019,2:03:00 PM,863 Hickory St, Los Angeles,CA,90001
176634,Lightning Charging Cable,1,14.95,14.95,"311 Madison St, Atlanta, GA 30301",4/10/2019,8:00:00 AM,311 Madison St, Atlanta,GA,30301
176635,Vareebadd Phone,1,400,400,"85 North St, San Francisco, CA 94016",4/26/2019,9:55:00 AM,85 North St, San Francisco,CA,94016
176636,AA Batteries (4-pack),1,3.84,3.84,"140 10th St, Boston, MA 02215",4/30/2019,8:37:00 PM,140 10th St, Boston,MA,2215
176637,AAA Batteries (4-pack),1,2.99,2.99,"261 Sunset St, New York City, NY 10001",4/17/2019,10:03:00 AM,261 Sunset St, New York City,NY,10001
176638,USB-C Charging Cable,1,11.95,11.95,"869 Cherry St, Boston, MA 02215",4/20/2019,8:33:00 AM,869 Cherry St, Boston,MA,2215
176639,Macbook Pro Laptop,1,1700,1700,"853 Cedar St, San Francisco, CA 94016",4/28/2019,4:14:00 PM,853 Cedar St, San Francisco,CA,94016
176640,Wired Headphones,2,11.99,23.98,"164 Lake St, San Francisco, CA 94016",4/27/2019,10:54:00 PM,164 Lake St, San Francisco,CA,94016
176641,Lightning Charging Cable,1,14.95,14.95,"655 Sunset St, Boston, MA 02215",4/25/2019,9:36:00 PM,655 Sunset St, Boston,MA,2215
176642,AA Batteries (4-pack),1,3.84,3.84,"72 Elm St, Portland, OR 97035",4/17/2019,6:38:00 PM,72 Elm St, Portland,OR,97035
176643,Macbook Pro Laptop,1,1700,1700,"373 Adams St, Boston, MA 02215",4/27/2019,9:32:00 PM,373 Adams St, Boston,MA,2215
176644,USB-C Charging Cable,1,11.95,11.95,"962 7th St, Los Angeles, CA 90001",4/23/2019,2:09:00 AM,962 7th St, Los Angeles,CA,90001
176645,AAA Batteries (4-pack),3,2.99,8.97,"514 Lake St, Dallas, TX 75001",4/26/2019,6:38:00 PM,514 Lake St, Dallas,TX,75001
176646,Macbook Pro Laptop,1,1700,1700,"657 Adams St, Portland, OR 97035",4/22/2019,7:14:00 AM,657 Adams St, Portland,OR,97035
176647,Google Phone,1,600,600,"273 South St, Los Angeles, CA 90001",4/21/2019,7:40:00 PM,273 South St, Los Angeles,CA,90001
176648,27in FHD Monitor,1,149.99,149.99,"732 2nd St, Portland, OR 97035",4/24/2019,1:17:00 AM,732 2nd St, Portland,OR,97035
176649,USB-C Charging Cable,1,11.95,11.95,"702 11th St, San Francisco, CA 94016",4/9/2019,8:49:00 AM,702 11th St, San Francisco,CA,94016
176650,Lightning Charging Cable,1,14.95,14.95,"153 River St, Boston, MA 02215",4/12/2019,4:47:00 PM,153 River St, Boston,MA,2215
176651,iPhone,1,700,700,"997 South St, Boston, MA 02215",4/7/2019,1:14:00 PM,997 South St, Boston,MA,2215
176652,LG Washing Machine,1,600,600,"502 14th St, New York City, NY 10001",4/9/2019,8:04:00 PM,502 14th St, New York City,NY,10001
176653,AA Batteries (4-pack),1,3.84,3.84,"285 Chestnut St, San Francisco, CA 94016",4/26/2019,7:20:00 PM,285 Chestnut St, San Francisco,CA,94016
176654,USB-C Charging Cable,1,11.95,11.95,"880 Lakeview St, Seattle, WA 98101",4/15/2019,7:35:00 PM,880 Lakeview St, Seattle,WA,98101
176655,Apple Airpods Headphones,1,150,150,"848 Center St, San Francisco, CA 94016",4/11/2019,7:36:00 PM,848 Center St, San Francisco,CA,94016
176656,Google Phone,1,600,600,"12 Lakeview St, New York City, NY 10001",4/12/2019,4:42:00 PM,12 Lakeview St, New York City,NY,10001
176657,ThinkPad Laptop,1,999.99,999.99,"774 Forest St, Los Angeles, CA 90001",4/23/2019,10:16:00 AM,774 Forest St, Los Angeles,CA,90001
176658,AAA Batteries (4-pack),2,2.99,5.98,"573 Pine St, San Francisco, CA 94016",4/22/2019,8:51:00 AM,573 Pine St, San Francisco,CA,94016
176659,20in Monitor,1,109.99,109.99,"804 Church St, Dallas, TX 75001",4/29/2019,2:40:00 PM,804 Church St, Dallas,TX,75001
176660,AA Batteries (4-pack),1,3.84,3.84,"267 West St, Boston, MA 02215",4/16/2019,5:10:00 PM,267 West St, Boston,MA,2215
176661,Wired Headphones,1,11.99,11.99,"522 6th St, Atlanta, GA 30301",4/25/2019,8:40:00 PM,522 6th St, Atlanta,GA,30301
176662,34in Ultrawide Monitor,1,379.99,379.99,"678 Hickory St, Portland, OR 97035",4/5/2019,12:46:00 PM,678 Hickory St, Portland,OR,97035
176663,Bose SoundSport Headphones,1,99.99,99.99,"450 Johnson St, Seattle, WA 98101",4/5/2019,11:48:00 AM,450 Johnson St, Seattle,WA,98101
176664,AAA Batteries (4-pack),1,2.99,2.99,"544 Madison St, Los Angeles, CA 90001",4/13/2019,6:59:00 PM,544 Madison St, Los Angeles,CA,90001
176665,ThinkPad Laptop,1,999.99,999.99,"927 13th St, Dallas, TX 75001",4/7/2019,2:15:00 PM,927 13th St, Dallas,TX,75001
176666,Wired Headphones,1,11.99,11.99,"382 Forest St, Seattle, WA 98101",4/8/2019,4:50:00 PM,382 Forest St, Seattle,WA,98101
176667,27in 4K Gaming Monitor,1,389.99,389.99,"92 11th St, Los Angeles, CA 90001",4/11/2019,12:39:00 AM,92 11th St, Los Angeles,CA,90001
176668,AA Batteries (4-pack),1,3.84,3.84,"56 2nd St, Dallas, TX 75001",4/15/2019,8:46:00 PM,56 2nd St, Dallas,TX,75001
176669,27in FHD Monitor,1,149.99,149.99,"506 Jackson St, Dallas, TX 75001",4/8/2019,12:57:00 PM,506 Jackson St, Dallas,TX,75001
176670,Apple Airpods Headphones,1,150,150,"892 Willow St, San Francisco, CA 94016",4/25/2019,9:23:00 PM,892 Willow St, San Francisco,CA,94016
176671,AAA Batteries (4-pack),2,2.99,5.98,"738 Jefferson St, New York City, NY 10001",4/23/2019,4:31:00 PM,738 Jefferson St, New York City,NY,10001
176672,Lightning Charging Cable,1,14.95,14.95,"778 Maple St, New York City, NY 10001",4/12/2019,11:07:00 AM,778 Maple St, New York City,NY,10001
176672,USB-C Charging Cable,1,11.95,11.95,"778 Maple St, New York City, NY 10001",4/12/2019,11:07:00 AM,778 Maple St, New York City,NY,10001
176673,20in Monitor,1,109.99,109.99,"952 1st St, Boston, MA 02215",4/10/2019,8:17:00 AM,952 1st St, Boston,MA,2215
176674,AAA Batteries (4-pack),3,2.99,8.97,"907 West St, Austin, TX 73301",4/20/2019,8:53:00 PM,907 West St, Austin,TX,73301
176675,AAA Batteries (4-pack),1,2.99,2.99,"933 Meadow St, Seattle, WA 98101",4/2/2019,9:02:00 AM,933 Meadow St, Seattle,WA,98101
176676,LG Dryer,1,600,600,"788 Lincoln St, Los Angeles, CA 90001",4/9/2019,12:35:00 AM,788 Lincoln St, Los Angeles,CA,90001
176677,34in Ultrawide Monitor,1,379.99,379.99,"661 Washington St, Austin, TX 73301",4/1/2019,11:50:00 AM,661 Washington St, Austin,TX,73301
176678,AA Batteries (4-pack),2,3.84,7.68,"345 Sunset St, San Francisco, CA 94016",4/19/2019,10:12:00 PM,345 Sunset St, San Francisco,CA,94016
176679,Apple Airpods Headphones,1,150,150,"245 West St, Boston, MA 02215",4/16/2019,11:12:00 AM,245 West St, Boston,MA,2215
176680,USB-C Charging Cable,1,11.95,11.95,"368 Main St, Los Angeles, CA 90001",4/13/2019,11:28:00 AM,368 Main St, Los Angeles,CA,90001
176681,Apple Airpods Headphones,1,150,150,"331 Cherry St, Seattle, WA 98101",4/20/2019,10:39:00 AM,331 Cherry St, Seattle,WA,98101
176681,ThinkPad Laptop,1,999.99,999.99,"331 Cherry St, Seattle, WA 98101",4/20/2019,10:39:00 AM,331 Cherry St, Seattle,WA,98101
176682,Lightning Charging Cable,1,14.95,14.95,"593 Adams St, Boston, MA 02215",4/27/2019,6:19:00 AM,593 Adams St, Boston,MA,2215
176683,AA Batteries (4-pack),1,3.84,3.84,"253 Willow St, Los Angeles, CA 90001",4/3/2019,1:54:00 PM,253 Willow St, Los Angeles,CA,90001
176684,USB-C Charging Cable,1,11.95,11.95,"293 Washington St, Los Angeles, CA 90001",4/17/2019,12:51:00 AM,293 Washington St, Los Angeles,CA,90001
176685,34in Ultrawide Monitor,1,379.99,379.99,"114 10th St, New York City, NY 10001",4/23/2019,10:53:00 PM,114 10th St, New York City,NY,10001
176686,Wired Headphones,1,11.99,11.99,"892 10th St, Austin, TX 73301",4/17/2019,3:17:00 PM,892 10th St, Austin,TX,73301
176687,Macbook Pro Laptop,1,1700,1700,"121 Wilson St, Los Angeles, CA 90001",4/30/2019,10:26:00 AM,121 Wilson St, Los Angeles,CA,90001
176688,Flatscreen TV,1,300,300,"229 Church St, San Francisco, CA 94016",4/20/2019,6:25:00 PM,229 Church St, San Francisco,CA,94016
176689,Bose SoundSport Headphones,1,99.99,99.99,"659 Lincoln St, New York City, NY 10001",4/24/2019,5:15:00 PM,659 Lincoln St, New York City,NY,10001
176689,AAA Batteries (4-pack),2,2.99,5.98,"659 Lincoln St, New York City, NY 10001",4/24/2019,5:15:00 PM,659 Lincoln St, New York City,NY,10001
176690,20in Monitor,1,109.99,109.99,"873 Sunset St, San Francisco, CA 94016",4/4/2019,6:33:00 PM,873 Sunset St, San Francisco,CA,94016
176691,AAA Batteries (4-pack),1,2.99,2.99,"991 Lincoln St, Los Angeles, CA 90001",4/12/2019,11:57:00 AM,991 Lincoln St, Los Angeles,CA,90001
176692,Wired Headphones,1,11.99,11.99,"290 Forest St, San Francisco, CA 94016",4/8/2019,6:21:00 PM,290 Forest St, San Francisco,CA,94016
176693,AA Batteries (4-pack),1,3.84,3.84,"252 Walnut St, San Francisco, CA 94016",4/22/2019,9:00:00 AM,252 Walnut St, San Francisco,CA,94016
176694,USB-C Charging Cable,1,11.95,11.95,"985 Washington St, Atlanta, GA 30301",4/5/2019,8:46:00 PM,985 Washington St, Atlanta,GA,30301
176695,AA Batteries (4-pack),2,3.84,7.68,"709 Lake St, Seattle, WA 98101",4/12/2019,8:50:00 PM,709 Lake St, Seattle,WA,98101
176696,iPhone,1,700,700,"343 Johnson St, New York City, NY 10001",4/7/2019,12:41:00 PM,343 Johnson St, New York City,NY,10001
176697,Wired Headphones,1,11.99,11.99,"675 Center St, New York City, NY 10001",4/20/2019,10:38:00 PM,675 Center St, New York City,NY,10001
176698,Bose SoundSport Headphones,1,99.99,99.99,"232 Lakeview St, San Francisco, CA 94016",4/2/2019,4:15:00 PM,232 Lakeview St, San Francisco,CA,94016
176699,Bose SoundSport Headphones,1,99.99,99.99,"49 Jefferson St, Boston, MA 02215",4/28/2019,6:04:00 PM,49 Jefferson St, Boston,MA,2215
176700,34in Ultrawide Monitor,1,379.99,379.99,"967 Walnut St, Dallas, TX 75001",4/7/2019,11:10:00 PM,967 Walnut St, Dallas,TX,75001
176701,USB-C Charging Cable,1,11.95,11.95,"128 Church St, Austin, TX 73301",4/11/2019,1:05:00 PM,128 Church St, Austin,TX,73301
176702,AA Batteries (4-pack),1,3.84,3.84,"896 Sunset St, Seattle, WA 98101",4/23/2019,7:44:00 PM,896 Sunset St, Seattle,WA,98101
176703,20in Monitor,1,109.99,109.99,"748 Washington St, New York City, NY 10001",4/17/2019,10:00:00 AM,748 Washington St, New York City,NY,10001
176704,AA Batteries (4-pack),2,3.84,7.68,"909 Center St, Seattle, WA 98101",4/17/2019,10:00:00 AM,909 Center St, Seattle,WA,98101
176705,Lightning Charging Cable,2,14.95,29.9,"503 8th St, Austin, TX 73301",4/6/2019,9:38:00 AM,503 8th St, Austin,TX,73301
176706,Lightning Charging Cable,1,14.95,14.95,"309 South St, New York City, NY 10001",4/13/2019,1:32:00 PM,309 South St, New York City,NY,10001
176707,Apple Airpods Headphones,1,150,150,"408 Center St, Portland, OR 97035",4/13/2019,10:34:00 AM,408 Center St, Portland,OR,97035
176708,Wired Headphones,1,11.99,11.99,"542 Ridge St, New York City, NY 10001",4/28/2019,11:03:00 PM,542 Ridge St, New York City,NY,10001
176709,AA Batteries (4-pack),1,3.84,3.84,"971 Church St, Dallas, TX 75001",4/24/2019,2:17:00 PM,971 Church St, Dallas,TX,75001
176710,20in Monitor,2,109.99,219.98,"848 West St, Dallas, TX 75001",4/7/2019,10:00:00 AM,848 West St, Dallas,TX,75001
176711,Flatscreen TV,1,300,300,"796 River St, Dallas, TX 75001",4/30/2019,10:58:00 AM,796 River St, Dallas,TX,75001
176712,Google Phone,1,600,600,"910 Washington St, San Francisco, CA 94016",4/20/2019,5:21:00 AM,910 Washington St, San Francisco,CA,94016
176713,Wired Headphones,1,11.99,11.99,"498 Walnut St, San Francisco, CA 94016",4/21/2019,10:48:00 AM,498 Walnut St, San Francisco,CA,94016
176714,USB-C Charging Cable,1,11.95,11.95,"303 Spruce St, Los Angeles, CA 90001",4/26/2019,11:34:00 PM,303 Spruce St, Los Angeles,CA,90001
176715,Apple Airpods Headphones,1,150,150,"258 Jefferson St, San Francisco, CA 94016",4/27/2019,4:43:00 PM,258 Jefferson St, San Francisco,CA,94016
176716,Wired Headphones,1,11.99,11.99,"794 7th St, Los Angeles, CA 90001",4/24/2019,2:43:00 PM,794 7th St, Los Angeles,CA,90001
176717,Apple Airpods Headphones,1,150,150,"490 Lakeview St, Atlanta, GA 30301",4/19/2019,10:34:00 AM,490 Lakeview St, Atlanta,GA,30301
176718,Lightning Charging Cable,1,14.95,14.95,"672 Sunset St, Los Angeles, CA 90001",4/22/2019,7:14:00 PM,672 Sunset St, Los Angeles,CA,90001
176719,Flatscreen TV,1,300,300,"602 Hickory St, Boston, MA 02215",4/27/2019,1:07:00 PM,602 Hickory St, Boston,MA,2215
176720,Lightning Charging Cable,1,14.95,14.95,"556 South St, Portland, OR 97035",4/21/2019,10:35:00 AM,556 South St, Portland,OR,97035
176721,AAA Batteries (4-pack),1,2.99,2.99,"469 7th St, San Francisco, CA 94016",4/26/2019,9:08:00 PM,469 7th St, San Francisco,CA,94016
176722,27in 4K Gaming Monitor,1,389.99,389.99,"209 14th St, New York City, NY 10001",4/1/2019,10:57:00 AM,209 14th St, New York City,NY,10001
176723,27in 4K Gaming Monitor,1,389.99,389.99,"613 12th St, Portland, OR 97035",4/19/2019,9:31:00 PM,613 12th St, Portland,OR,97035
176724,Lightning Charging Cable,1,14.95,14.95,"34 12th St, San Francisco, CA 94016",4/26/2019,8:59:00 PM,34 12th St, San Francisco,CA,94016
176725,AA Batteries (4-pack),2,3.84,7.68,"630 14th St, San Francisco, CA 94016",4/15/2019,2:33:00 PM,630 14th St, San Francisco,CA,94016
176726,USB-C Charging Cable,1,11.95,11.95,"979 8th St, Los Angeles, CA 90001",4/13/2019,6:14:00 PM,979 8th St, Los Angeles,CA,90001
176727,Lightning Charging Cable,1,14.95,14.95,"218 Hickory St, Los Angeles, CA 90001",4/14/2019,2:26:00 PM,218 Hickory St, Los Angeles,CA,90001
176728,Lightning Charging Cable,1,14.95,14.95,"516 Park St, Atlanta, GA 30301",4/21/2019,7:38:00 AM,516 Park St, Atlanta,GA,30301
176729,USB-C Charging Cable,1,11.95,11.95,"637 9th St, Seattle, WA 98101",4/24/2019,9:57:00 AM,637 9th St, Seattle,WA,98101
176730,Bose SoundSport Headphones,1,99.99,99.99,"403 Ridge St, New York City, NY 10001",4/17/2019,8:27:00 AM,403 Ridge St, New York City,NY,10001
176731,AAA Batteries (4-pack),2,2.99,5.98,"36 Lincoln St, San Francisco, CA 94016",4/21/2019,4:17:00 PM,36 Lincoln St, San Francisco,CA,94016
